Fibra,FBG,Pol,peak_idx,lambda_B_nm,spacing_nm,FWHM_pm,BW20_pm,SF,Amp_cts,SNR_dB,SLSR_dB,SLSR_ratio,d_SL_nm,SAR_pct,L_mm
DW-3,1,P,15952,1544.952,,76.5,288.7,3.77,1030.0,30.1,10.4,11.0,0.12,0.2,22.5
DW-3,2,P,21786,1550.786,5.834,78.0,220.7,2.83,1030.0,30.1,10.0,10.1,0.12,0.8,22.23
DW-3,3,P,27598,1556.598,5.812,76.9,219.1,2.85,887.0,29.5,9.8,9.6,0.12,1.0,22.72
DW-3,4,P,33367,1562.367,5.769,80.1,227.4,2.84,962.0,29.8,10.7,11.7,0.12,0.4,22.01
DW-3,1,S,15952,1544.952,,77.2,289.6,3.75,1095.0,30.4,10.4,10.8,0.12,2.0,22.3
DW-3,2,S,21788,1550.788,5.836,79.9,221.9,2.78,1212.0,30.8,9.9,9.8,0.12,0.8,21.74
DW-3,3,S,27599,1556.599,5.811,78.3,217.8,2.78,1029.0,30.1,9.8,9.5,0.12,0.2,22.33
DW-3,4,S,33367,1562.367,5.768,80.2,227.6,2.84,994.0,30.0,10.7,11.7,0.12,0.3,21.97
PEEK-6,1,P,12470,1541.47,,211.9,769.3,3.63,533.0,27.3,16.1,41.0,0.32,2.1,8.13
PEEK-6,2,P,15582,1544.582,3.112,211.9,496.2,2.34,542.0,27.3,19.6,90.3,0.35,1.3,8.16
PEEK-6,3,P,18494,1547.494,2.912,211.4,647.8,3.06,562.0,27.5,18.5,70.2,0.33,1.5,8.2
PEEK-6,1,S,12471,1541.471,,212.7,757.4,3.56,530.0,27.2,16.1,40.8,0.32,1.6,8.09
PEEK-6,2,S,15580,1544.58,3.109,211.7,490.0,2.31,550.0,27.4,19.6,91.7,0.34,3.5,8.16
PEEK-6,3,S,18495,1547.495,2.915,211.7,630.1,2.98,546.0,27.4,18.9,78.0,0.33,0.2,8.19
POLY-1,1,P,16114,1545.114,,153.9,425.8,2.77,561.0,27.5,21.5,140.2,0.25,1.7,11.24
POLY-1,2,P,21947,1550.947,5.833,163.1,442.8,2.71,510.0,27.1,19.3,85.0,0.25,5.5,10.68
POLY-1,3,P,27731,1556.731,5.784,165.3,502.7,3.04,463.0,26.7,17.6,57.9,0.25,4.8,10.62
POLY-1,4,P,33443,1562.443,5.712,165.0,495.2,3.0,440.0,26.4,18.7,73.3,0.26,0.5,10.72
POLY-1,1,S,16103,1545.103,,176.9,432.1,2.44,646.0,28.1,22.1,161.5,0.27,2.3,9.78
POLY-1,2,S,21943,1550.943,5.84,169.3,436.2,2.58,538.0,27.3,21.3,134.5,0.64,4.8,10.29
POLY-1,3,S,27726,1556.726,5.783,169.9,508.4,2.99,480.0,26.8,19.0,80.0,0.26,1.9,10.33
POLY-1,4,S,33430,1562.43,5.704,188.1,503.3,2.68,486.0,26.9,20.8,121.5,0.56,0.5,9.4
